Student,Date,Vendor,Item,Payment Method,Amount,Balance
"Russell, Carl",10/19/2022 10:56 AM,Elementary Cafeteria,-------,Online Payment,20.0,22.8
"Russell, Carl",10/19/2022 07:39 AM,Elementary Cafeteria,Breakfast,Prepay,-1.55,2.8
"Russell, Carl",10/17/2022 12:36 PM,Elementary Cafeteria,Lunch,Prepay,-2.65,4.35
"Russell, Carl",10/17/2022 07:38 AM,Elementary Cafeteria,Breakfast,Prepay,-1.55,7.0
"Russell, Carl",10/14/2022 12:33 PM,Elementary Cafeteria,Lunch,Prepay,-2.65,8.55
"Russell, Carl",10/14/2022 12:33 PM,Elementary Cafeteria,Lunch,Prepay,-1.5,11.2
"Russell, Carl",10/14/2022 07:37 AM,Elementary Cafeteria,Breakfast,Prepay,-1.55,12.7
"Russell, Carl",10/13/2022 12:33 PM,Elementary Cafeteria,Lunch,Prepay,-2.65,14.25
"Russell, Carl",10/13/2022 07:39 AM,Elementary Cafeteria,Breakfast,Prepay,-1.55,16.9
"Russell, Carl",10/12/2022 12:30 PM,Elementary Cafeteria,Lunch,Prepay,-2.65,18.45
"Russell, Carl",10/12/2022 08:09 AM,Elementary Cafeteria,-------,Online Payment,20.0,21.1
"Russell, Carl",10/12/2022 07:42 AM,Elementary Cafeteria,Breakfast,Prepay,-1.55,1.1
"Russell, Carl",10/11/2022 12:33 PM,Elementary Cafeteria,Lunch,Prepay,-2.65,2.65
"Russell, Carl",10/11/2022 07:41 AM,Elementary Cafeteria,Breakfast,Prepay,-1.55,5.3
"Russell, Carl",10/10/2022 07:40 AM,Elementary Cafeteria,Breakfast,Prepay,-1.55,6.85
